,getScholarshipId,getScholarshipTitle,getProviderId,getProviderName,getProviderLogoSquareCdn,getProviderIsUniversity,getDescriptionOfDestinationCountryRestrictions,getDescriptionOfBenefits,getDescriptionOfDeadline,getIsNotSpecifiedDeadline,getDescriptionOfProviderLocation,getScholarshipVirtualName,getEligibility,getSupportedCountry,getOverall,getLink
10,9380,Allan and Nesta Ferguson Scholarships,293,SOAS University of London,//storage-prtl-co.imgix.net/mp/5de0e8156000.png,True,United Kingdom,32500 GBP,08 Mar 2025,False,"London, United Kingdom",allan-and-nesta-ferguson-scholarships,"Must be enrolled in Canada or overseas in a university (undergraduate/graduate programme) or community/professional college.
Must be in good standing with the university or community/professional college they attend;
Must apply via email by providing their full name, full mailing address, name of the university/college, major academic specialization, and expected date of graduation.",226 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/9380/allan-and-nesta-ferguson-scholarships.html
11,8577,International Excellence Scholarship,10831,University of Newcastle,//storage-prtl-co.imgix.net/endor/organisations/10831/logos/sq-10831.png,True,Australia,32000 AUD,Anytime,False,"Newcastle, Australia",international-excellence-scholarship,"This scholarship will be awarded to the most merited applicant in each programme.
Tuition fee-paying (non EU/EEA) applicants applying to their master degree programmes are eligible to apply for the Finland scholarship. 
Please note that if you are exempted from paying tuition fees, you will no longer be eligible for Finland scholarships.",Any,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/8577/international-excellence-scholarship.html
12,10024,Executive Transition Program Scholarships,977,ESMT Berlin,//storage-prtl-co.imgix.net/endor/organisations/977/images/1722359787_esmt-logo-rgb.png,True,Germany,28500 EUR,18 Aug 2024,False,"Berlin, Germany",executive-transition-program-scholarships,"The scholarship will be awarded if applicants are eligible, being assessed against academic and English language criteria as well as personal statements and personal circumstances, and their tuition fee will be reduced accordingly.
Only available on entry for the first time to the University – not in subsequent years.
Only available for UG or PG taught applicants - not for preparatory programmes or research.
Only available to applicants joining the University for the first time – not UH graduates or HIC graduates.
Applicants must: have been offered and accepted a place on a full-time award-bearing University of Hertfordshire programme and be paying the full cost of the tuition fee from their own resources directly to the University of Hertfordshire, and not discounted or sponsored for any part of the fee by the University of Hertfordshire or an organisation such as an employer, charitable body or government department. (Any contribution by an external organisation to the student's living costs, or a contribution from the student's family to the fee or living costs, does not count as sponsorship under this scheme.)
Not available for any UG or PG School of Health & Social Work courses i.e:
BSc Diagnostic Radiography and Imaging
BSc Radiotherapy and Oncology
BSc Nursing (all routes)
BSc Midwifery
BSc Paramedic Science
BSc Physiotherapy
BSc Social Work
MSc Adult Nursing (all routes)
MSc Diagnostic Radiography and Imaging
MSc Physiotherapy
MSc Social Work",226 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/10024/executive-transition-program-scholarships.html
13,2023,Wellington Master’s by Thesis Scholarship,12672,Victoria University of Wellington,,True,New Zealand,15000 NZD,01 Nov 2024,False,"Wellington, New Zealand",wellington-masters-by-thesis-scholarship,"Be a citizen of Gaza
Be self-funding and classified as overseas for tuition fee purposes
Hold a conditional or unconditional offer from the University of Sheffield before the application deadline to study a full-time postgraduate taught Master's course starting in September.Distance learning and part-time students are not eligible for the scholarship.
The scholarship cannot be awarded in conjunction with any other scholarships, discounts or rewards from the University or external sources.
Full terms and conditions will be sent to the successful applicant when the award is confirmed. ",226 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/2023/wellington-masters-by-thesis-scholarship.html
14,8719,Chinese Government Scholarship Type A - Bilateral Program,99,Chongqing Municipal Government,,False,China,3500 CNY,15 Mar 2025,False,,chinese-government-scholarship-type-a-bilateral-program,"The scholarship is open to a person who has the right to study in the UK on any University of Cumbria full-time undergraduate degree (up to four years in duration, including foundation degrees) or any full-time taught postgraduate programme (up to two years in duration) located at our Ambleside, Carlisle and Lancaster campuses. 
You must meet the entry criteria for your chosen programme of study and have been offered a place (conditional or unconditional) on a University of Cumbria course.
You have read and accepted the Sanctuary Scholarship Terms and Conditions.
You must not be eligible for student finance.
You must not have a degree from a UK university of the same level or higher than the course you want to study at University of Cumbria.
You must be able to demonstrate your immigration status is connected to an asylum application that is ongoing or you have made in the past prior to making your Sanctuary Scholarship application. You must be residing in the UK. You must hold one of the immigration statuses at the time you make your sanctuary scholarship application.",226 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/8719/chinese-government-scholarship-type-a-bilateral-program.html
15,9939,Eiffel Excellence Scholarships,785,Sorbonne University,,True,France,Various benefits,Not specified,True,"Paris, France",eiffel-excellence-scholarships,Awarded to students who have achieved outstanding performance in rigorous college-preparatory curriculum. ,225 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/9939/eiffel-excellence-scholarships.html
16,7303,Pastors Scholarship,22005,Yesbud University,,True,Zambia,Various benefits,Not specified,True,"Lusaka, Zambia",pastors-scholarship,"No separate application is required to be considered for merit scholarships.
Students are automatically considered upon applying to Temple.",226 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/7303/pastors-scholarship.html
17,9897,ZU Scholarship,630,Zeppelin University,,True,Germany,Various benefits,01 Sep 2024,False,"Friedrichshafen, Germany",zu-scholarship,"Available for all taught postgraduate applicants classified as international for fee purposes joining the University campus in the UK in September for the first time from all markets.
This scholarship is a one-off payment for first-time applicants joining the University and not available for subsequent years of study.
To qualify for the £2,000 King’s Award Clearing Scholarship, applicants must have paid their full tuition fee deposit of £5,000 and it needs to be received by the University. Available on all postgraduate taught courses apart from those in the School of Health and Social Work and nonstandard courses.
Not available for any PG School of Health & Social Work courses i.e:
MSc Nursing (all routes)
MSc Diagnostic Radiography and Imaging
MSc Physiotherapy
MSc Social Work
Not available for non-standard courses in Law
PgDip Bar Practice
LLM Bar Practice
LLM Legal Practice
Only available for PG taught applicants, not available for OSPAP, Pre-sessional English, Research, HIC or online courses.
Not available for undergraduate (UG) applicants.",226 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/9897/zu-scholarship.html
18,9467,Scholarships for All Citizens - 1st Year Tuition Fee Waiver,350,Vytautas Magnus University,,True,United Kingdom,Various benefits,Not specified,True,"Kaunas, Lithuania",scholarships-for-all-citizens-1st-year-tuition-fee-waiver,"Available for all taught postgraduate applicants classified as international for fee purposes joining the University campus in the UK in September for the first time from all markets.
This scholarship is a one-off payment for first-time applicants joining the University and not available for subsequent years of study.
To qualify for the £2,000 King’s Award Scholarship, applicants must have paid their full tuition fee deposit of £5,000 and it needs to be received by the University. Available on all postgraduate taught courses apart from those in the School of Health & Social Work and nonstandard courses.
Not available for any PG School of Health & Social Work courses i.e:
MSc Nursing (all routes)
MSc Diagnostic Radiography and Imaging
MSc Physiotherapy
MSc Social Work
Not available for non-standard courses in Law
PgDip Bar Practice
LLM Bar Practice
LLM Legal Practice
Only available for PG taught applicants, not available for OSPAP, Pre-sessional English, Research, HIC or online courses.
Not available for undergraduate (UG) applicants.",Any,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/9467/scholarships-for-all-citizens-1st-year-tuition-fee-waiver.html
19,9038,Oxford-Bounden Graduate Scholarship,35,University of Oxford,,True,United Kingdom,Various benefits,Anytime,False,"Oxford, United Kingdom",oxford-bounden-graduate-scholarship,"It is available for all applicants who have experienced economic challenges within their home country, this includes; currency devaluation, significant inflation of everyday goods, energy crisis or any kind of recession.
This Scholarships is also available to any students who require assistance with the cost-of-living crisis in the UK.
Available for all taught postgraduate applicants classified as international for fee purposes joining the University campus in the UK in September for the first time from all markets.
Not available for any PG School of Health & Social Work courses i.e:
MSc Nursing (all routes)
MSc Diagnostic Radiography and Imaging
MSc Physiotherapy
MSc Social Work
Not available for non-standard courses in Law
PgDip Bar Practice
LLM Bar Practice
LLM Legal Practice
Only available for PG taught applicants, not available for OSPAP, Pre-sessional English, Research, HIC or online courses.
Not available for undergraduate (UG) applicants.",225 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/9038/oxford-bounden-graduate-scholarship.html
20,9022,Lund University Global Scholarship,10,Lund University,,True,Sweden,Various benefits,Not specified,True,"Lund, Sweden",lund-university-global-scholarship,"Available for all taught postgraduate (PG) taught applicants classified as international for fee purposes joining the University campus in the UK for the first time from all markets. 
Not available for any PG School of Health & Social Work courses i.e:
MSc Nursing (all routes)
MSc Diagnostic Radiography and Imaging
MSc Physiotherapy
MSc Social Work
Not available for non-standard courses in Law
PgDip Bar Practice
LLM Bar Practice
LLM Legal Practice
Only available for PG taught applicants, not available for OSPAP, Pre-sessional English, Research, HIC or online courses.
Not available for undergraduate (UG) applicants.
Only available to applicants joining the University for the first time – not UH graduates or HIC graduates.
Only available on entry for the first time to the University – not in subsequent years.
Applicants must: have been offered and accepted a place on a full-time award-bearing University of Hertfordshire programme and be paying the full cost of the tuition fee from their own resources directly to the University of Hertfordshire, and not discounted or sponsored for any part of the fee by the University of Hertfordshire or an organisation such as an employer, charitable body or government department. (Any contribution by an external organisation to the student's living costs, or a contribution from the student's family to the fee or living costs, does not count as sponsorship under this scheme.)",226 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/9022/lund-university-global-scholarship.html
21,3783,Global Scholarship,12375,Tulane University,,True,United States,Various benefits,15 Nov 2024,False,"New Orleans, United States",global-scholarship,"Be currently seeking asylum in the UK, or you must be a dependant, spouse or civil partner* of someone currently seeking asylum in the UK
Be able to provide evidence of your current immigration status
Have received a conditional or unconditional offer on a Full-Time one-year Masters course at Northumbria University, starting in September 2024
Meet all the conditions of your course, including English Language competency requirements
Be living in the North East of England (Tyne and Wear, County Durham, Northumberland, Cleveland and North Cumbria) prior to the commencement of study and be able to provide an address
Be unable to access UK student finance (tuition fee loans and/or maintenance loans) by virtue of your immigration status",226 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/3783/global-scholarship.html
22,5929,State Scholar Plus Scholarship,14239,DePaul University,,True,United States,Various benefits,15 Nov 2024,False,"Chicago, United States",state-scholar-plus-scholarship,"An asylum seeker or the partner/dependant** of an asylum seeker; OR
An asylum seeker/partner/dependant who has been granted Discretionary Leave to Remain (DLR) or some other form of temporary status
From another forced migrant background and not eligible to apply for Student Finance
Applicants must hold an offer for a full-time undergraduate or postgraduate taught programme at University of Wolverhampton for entry in academic year 2024/2025
These scholarships are available only to students paying international fees
Applicants must be privately funded (i.e., full fees being paid from their own or their family’s resources)
Applicants must not be in receipt of any other scholarship or financial award
Applicants must not have previously been enrolled on the same course, or a course leading to this award (e.g. DipHE or PGDip)",Any,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/5929/state-scholar-plus-scholarship.html
23,926,Merit Scholarship,55,Bilkent University,,True,Turkey,Various benefits,Anytime,False,"Çankaya, Turkey",merit-scholarship,,11 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/926/merit-scholarship.html
24,2066,Founder's and Trustees' Scholarships,11258,Lehigh University,,True,United States,Various benefits,Anytime,False,"Bethlehem, United States",founders-and-trustees-scholarships,"The applicant applies to take up a master's degree programme at a Flemish higher education institution.
The applicant should have a high standard of academic performance and/or potential: The student has a Grade Point Average (GPA) of 3.5 out of 4.0.
The student has a good knowledge of the English language.An overall band score of minimum 6.5 on the IELTS test
A minimum total score of 90 on the TOEFL test
A B2 level of the Common European Framework of Reference
Or a similar result in another official English language test (recognized by the host institution)
Online language tests of IELTS and TOEFL will also be accepted.",225 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/2066/founders-and-trustees-scholarships.html
25,2471,Ajou Admisstion Fee Scholarship,12848,Ajou University,,True,South Korea,Various benefits,Anytime,False,"Suigen, South Korea",ajou-admisstion-fee-scholarship,"International students receive the Cross-Cultural Scholarship, which provides the in-state tuition rate.
To maintain the scholarship, students are required to participate in cultural programs and maintain a 2.5 GPA.
We also offer the Presidential Honors Scholarship for students with strong test scores.",225 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/2471/ajou-admisstion-fee-scholarship.html
26,10,Ajou Special Scholarhip,12848,Ajou University,,True,South Korea,Various benefits,Anytime,False,"Suigen, South Korea",ajou-special-scholarhip,"New students must rank within the top 25% in their national admission exam, be accepted or previously enrolled in a top 400 QS-ranked university, or achieve a minimum TOEFL iBT score of 100 or IELTS score of 7. 
Current students must have a grade of B+ or above in all subjects, pass conduct evaluations, have no truancy or poor attendance, and rank among the top five in their class. New students must have a minimum TOEFL iBT score of 76, IELTS score of 6, or TOFCL B1 Mandarin proficiency, maintain a GPA of 3.2 or above, and demonstrate excellent performance during the interview.
Current students must achieve a grade of B or above in all subjects, pass conduct evaluations, have no truancy or poor attendance, and receive a positive evaluation from their activity participation supervisor.",225 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/10/ajou-special-scholarhip.html
27,3606,Åbo Akademi University Tuition Fee Scholarships,167,Åbo Akademi University,,True,Finland,Various benefits,Anytime,False,"Turku, Finland",bo-akademi-university-tuition-fee-scholarships,"Submitting an application without the required exam scores (GRE/GMAT, TOEFL) significantly diminishes your admission chances and therefore your scholarship chances.
Minimum GPA 2.80 out of 4.00.
Applicants must have B.S. or B.A. degrees.",Any,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/3606/bo-akademi-university-tuition-fee-scholarships.html
28,9169,Danish Government Scholarship,180,University of Southern Denmark,,True,Denmark,Various benefits,Anytime,False,"Neder Holluf, Denmark",danish-government-scholarship,"Be a citizen of or have been granted refugee status by an eligible Commonwealth country, or be a British Protected Person.
Be permanently resident in an eligible Commonwealth country.
Be available to start academic studies in the UK.
Hold a first degree of at least upper second class (2:1) honours standard, or a second class degree (2:2) and a relevant postgraduate qualification (usually a Master’s degree)*. The CSC would not normally fund a second UK Master’s degree. If you are applying for a second UK Master’s degree, you will need to provide justification as to why you wish to undertake this study
Be unable to afford to study in the UK without this scholarship.
Have provided all supporting documentation in the required format.",Any,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/9169/danish-government-scholarship.html
29,1678,Research School of Management Master of Business Administration Scholarship,11711,Australian National University,,True,Australia,Various benefits,Anytime,False,"Canberra, Australia",research-school-of-management-master-of-business-administration-scholarship,"1st year Master's programme applicants
Citizens of these 143 countries",226 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/1678/research-school-of-management-master-of-business-administration-scholarship.html
30,1079,The Rick and Rebecca Riordan Postgraduate Scholarship in Modern Irish,219,University College Cork,//storage-prtl-co.imgix.net/mp/5de0e7f3fb22.png,True,Ireland,Various benefits,Anytime,False,"Cork, Ireland",the-rick-and-rebecca-riordan-postgraduate-scholarship-in-modern-irish,"It is necessary to be a citizen of the Republic of Turkey. 
Applicants must have an English Language Teaching diploma or be students in the English Language Teaching departments of universities in Turkey
People who have graduated from the English Language and Literature, American Culture and Literature, English Linguistics, English Translation and Interpreting departments, or who are currently students in these departments 
Candidates who will not have a pedagogical formation certificate by the application deadline must have been accepted to a master's program with or without thesis in one of the fields of Curriculum and Instruction, Educational Management, Teaching Turkish to Foreigners or Teaching Foreign Language (English). 
Candidates who will apply from Turkish Language Teaching, Turkish Language and Literature, Linguistics and Journalism and Media departments are required to submit both a Pedagogical Formation Certificate and  have at least 2 years of teaching experience
Applicants should not have more than seven years of teaching experience.
Good knowledge of English is required. To document this, a valid TOEFL iBT score must be at least 79 or an IELTS Academic score must be at least 6.
Applicants must reside in Turkey throughout the nomination and selection process and must return to Turkey at the end of the nine-month program.
Candidates are required to demonstrate maturity, reliability, integrity and professionalism. ",226 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/1079/the-rick-and-rebecca-riordan-postgraduate-scholarship-in-modern-irish.html
31,3203,The UANDES PAES Scholarship (Public and Subsidized Schools),21709,"University of the Andes, Chile",,True,Chile,Various benefits,Not specified,True,"Santiago, Chile",the-uandes-paes-scholarship,The process of selecting Chevening Scholars takes a minimum of eight months from the application deadline to when scholars are conditionally selected for an award.,Any,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/3203/the-uandes-paes-scholarship.html
32,9023,Ingvar Kamprad Scholarship,10,Lund University,,True,Sweden,245000 SEK,Not specified,True,"Lund, Sweden",ingvar-kamprad-scholarship,"hold an offer from the University of Southampton to study on either an Undergraduate or Postgraduate Taught course.to be an asylum seeker *- a person who has made a claim within the UK for refugee status, or,
to be a person who has been granted some form of temporary status* - such as limited leave to remain etc.",225 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/9023/ingvar-kamprad-scholarship.html
33,8575,Health Excellence Scholarship,10831,University of Newcastle,//storage-prtl-co.imgix.net/endor/organisations/10831/logos/sq-10831.png,True,Australia,48000 AUD,Anytime,False,"Newcastle, Australia",health-excellence-scholarship,"Applicants can apply from all around the world. The Scholarship is open.
Applicants must be physically fit and in good health.
Applicant should Maintain a minimum CGPA requirement: 2.64/4.0, 2.80/4.3, 2.91/4.5, or 3.23/5.0.
In percentage: 80% or higher on a 100-point scale, or be in the top 20% of their class.
All applicants and their parents must not hold Korean citizenship.
Must be under 40 years of age as of September 1. (For Masters, Ph.D.)
Applicants should have completed and hold a bachelor’s Degree program or be expected to hold a bachelor’s degree.
Students in the final year and waiting for results can also apply. (In this case, you have to submit a certificate of expected graduation at the time of applying.",Any,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/8575/health-excellence-scholarship.html
34,8576,Business and Management Excellence Scholarship,10831,University of Newcastle,//storage-prtl-co.imgix.net/endor/organisations/10831/logos/sq-10831.png,True,Australia,48000 AUD,Anytime,False,"Newcastle, Australia",business-and-management-excellence-scholarship,"All HOPE Scholarship recipients must be 18 years of age or older and currently enrolled in a USG or TCSG institution.
All applicants are welcome.Applicants who are Black, Asian, or Hispanic.
Applicants enrolled in a public Historically Black College or University (HBCU).
Applicants whose annual household income is below the median household income in Georgia.
Applicants who are first-generation college students.",Any,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/8576/business-and-management-excellence-scholarship.html
35,9995,London Business School MBA Scholarships for Women,853,London Business School,,True,United Kingdom,Various benefits,Anytime,False,"Camden Town, United Kingdom",london-business-school-mba-scholarships-for-women,You can apply for this if you have a distinguished academic record and can demonstrate financial need.,Any,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/9995/london-business-school-mba-scholarships-for-women.html
36,9956,BK Birla Scholars Programme,853,London Business School,,True,United Kingdom,Various benefits,Anytime,False,"Camden Town, United Kingdom",bk-birla-scholars-programme,"domiciled in an eligible low or lower-middle income country according to the World Bank classification
have an official unconditional offer to study a full time master's degree at IOE (letter issued by UCL Admissions)
not have studied or lived in the UK before.",226 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/9956/bk-birla-scholars-programme.html
