title,author,description,criteria,amount,location,supported_country,deadline,study,inclusion,number_of_awards,link
BioVision Fellowship,BioVision,"BioVision, the World Life Sciences Forum, is inviting a 100 promising PhD students and Post-docs to attend the 3 days Forum thanks to a Fellowship programme called BioVision.Nxt.","Applicants must be under 35 years of age at the time of application. PhD student or Post-doc in the following fields related to Life Sciences: Biology, Healthcare, Agriculture, Food and Nutrition, Environment.    Strong interest in dialogue between Science/Society   Communication skills, capacity to network and disseminate information, fluent English.",Variable,Unrestricted,Unrestricted,October 15,Unrestricted,Food accommodation free access to BioVision and travel.,100,https://www.internationalscholarships.com/scholarships/1840/
Australian Institute Research Grant,Australian Institute of Aboriginal and Torres Straight Islander Studies,To support research that will secure short-term and long-term benefit to Aboriginal and Torres Strait Islander People,"The Research Grants Program will support research into a wide range of research areas in Aboriginal and Torres Strait Islander Studies, such as history, politics, law, public policy, health, biological sciences, education, Indigenous knowledge systems linguistics, social anthropology, archaeology and the arts.","$18,000",Unrestricted,Unrestricted,December 21,Unrestricted,"Travel, living expenses, research expenses, housing, stipend. Funding will be approved for no longer than one year (12 months).",Variable,https://www.internationalscholarships.com/scholarships/15/
American Association Of Petroleum Geologists/ Grants-In-Aid,American Association of Petroleum Geologists Foundation,Fifty to sixty grants available to graduate students for study for study of earth science aspects of the petroleum industry.,,"$500- $2,000 USD",Unrestricted,United States,January 15,Unrestricted,Research expenses,50-60,https://www.internationalscholarships.com/scholarships/763/
50% Scholarship For Italian Course In Liguria,Scuola di lingua Poliedro,50% discount on the Italian standard group course; 2 week duration; 4 hours/day.,,50% of course price,Italy,Unrestricted,Unrestricted,Italy,"50% discount on course price, not discount on accommodation",2,https://www.internationalscholarships.com/scholarships/2043/
China Times Cultural Foundation Doctoral Dissertation Research In Chinese Studie,China Times Cultural Foundation,Award of doctoral candidates in humanities or social sciences who are enrolled at a US or Canadian University.,,"$10,000",Canada and United States,Unrestricted,June 30,Canada and United States,Please see website for more information.,Variable,https://www.internationalscholarships.com/scholarships/507/
Arthur Meyerhoff Memorial Grant-In-Aid,American Association of Petroleum Geologists Foundation,Grant for graduate students for geological studies applicable to regional or global tectonics.,,"$1,200 USD",Unrestricted,United States,January 15,Unrestricted,,2,https://www.internationalscholarships.com/scholarships/757/
William B Ruggles Journalism Scholarship,National Institute for Labor Relations Research,"Available to graduate or undergraduate students majoring in journalism or related majors
Applications accepted between October 1 and December 31.",,"$2,000",United States,United States,December 31,United States,Unrestricted grant,1,https://www.internationalscholarships.com/scholarships/498/
American Association Of Cereal Chemists Undergraduate Scholarship,American Association of Cereal Chemists Foundation,Award for full-time undergraduates with minimum 3.0 grade point average preparing for a career in chemistry and technology.,,"$1,000;$1,500;$2,000 USD",Unrestricted,Unrestricted,April 1,Unrestricted,,15,https://www.internationalscholarships.com/scholarships/496/
American Association Of Cereal Chemists Graduate Fellowships,American Association of Cereal Chemists Foundation,Fellowships for graduate students involved in research on cereal and oilseed related areas.,,"$2,000- $3,000 USD",Unrestricted,Unrestricted,April 1,Unrestricted,Graduate awards are paid directly to the winners in September after AACC receives verification of registration for the fall semester or quarter from the appropriate department head.,15,https://www.internationalscholarships.com/scholarships/495/
AYA Scholarship,Universite de Paris IV (Paris-Sorbonne),To pursue graduate studies in the USA.,,"$15,000 USD",United States,France,March 1,United States,"Tuition, housing.",1,https://www.internationalscholarships.com/scholarships/750/
Architecture Internship,New School of Architecture,Prospective Graduate and Undergraduate applicants must follow the procedures and policies for enrollment of international students stated in the New School catalog.,,"$5,000 USD",United States,Unrestricted,August 1,United States,,2,https://www.internationalscholarships.com/scholarships/494/
American Institute Of Architects/ American Architectural Foundation Scholarship,American Institute of Architects/ American Architectural Foundation,Award for postprofessional degree in architecture.,,"$1,000-$2,500 USD",Unrestricted,Unrestricted,February 15,Unrestricted,-,Variable,https://www.internationalscholarships.com/scholarships/233/
American Institute Of Architects/ American Architectural Foundation Scholarships,American Institute of Architects/ American Architectural Foundation,Available to students in the final two years of a professional degree.,,"$500-$2,500 USD",United States,United States,February 1,United States,-,250,https://www.internationalscholarships.com/scholarships/232/
Abba Schwartz Fellowship,John F. Kennedy Library Foundation,"To support research at the Kennedy Library in the areas of immigration, naturalization or refugee policy.",,"$3,100 USD",United States,Unrestricted,March 15,United States,Stipend,1,https://www.internationalscholarships.com/scholarships/486/
Woodrow Wilson Center Fellowships,Woodrow Wilson International Center for Scholars,"Fellows conduct research and write in their areas of interest, while interacting with policymakers in Washington and Wilson Center staff.  The Center accepts non-advocacy, policy-relevant, fellowship proposals that address key challenges of past, present and future issues confronting the United States and the world.",Academic candidates holding a Ph.D. (Ph.D. must be received by the application deadline of October 1),"$26,000 - $85,000",United States,Unrestricted,October 1,United States,"Travel, dependents expenses,  health insurance, stipend",22-25,https://www.internationalscholarships.com/scholarships/222/
Aga Khan Scholarship Award,Massachusetts Institute of Technology,To provide tuition and stipend to students interested in Islamic architectural design and history admitted to the Massachusetts Institute of Technology Department of Architecture graduate program(SMArchS & PhD).,,"$23,000 USD",United States,Unrestricted,March,United States,"Tuition, stipend",3,https://www.internationalscholarships.com/scholarships/473/
Affirmative Action Scholarship,Special Libraries Association,For graduate study in librarianship leading to a masters degree.,,"$6,000 USD",United States,Unrestricted,October 31,United States,Unrestricted grant,1,https://www.internationalscholarships.com/scholarships/215/
